code,name,country,city,state,city_code
LAW,Lawton-Fort Sill Regional Airport,US,Lawton,Oklahoma,LAW
LAX,Los Angeles International Airport,US,El Segundo,California,LAX
LAY,Ladysmith,ZA,Ladysmith,KwaZulu-Natal,LAY
LAZ,Bom Jesus Da Lapa,BR,Bom Jesus da Lapa,Bahia,LAZ
LBA,Leeds Bradford International Airport,GB,Yeadon,England,LBA
LBB,Lubbock Preston Smith International Airport,US,,,LBB
LBC,Lubeck Blankensee,DE,Gross Gronau,Schleswig-Holstein,HAM
LBD,Khujand Airport,TJ,Chkalov,Viloyati Sughd,LBD
LBE,Westmoreland County Airport,US,Lawson Heights,Pennsylvania,LBE
LBF,Lee Bird Field,US,North Platte,Nebraska,LBF
LBG,Le Bourget,FR,Gonesse,Ile-de-France,PAR
LBH,Palm Beach SPB,AU,Botany,New South Wales,SYD
LBI,Le Sequestre,FR,Albi,Midi-Pyrenees,LBI
LBJ,Komodo Airport,ID,Labuhanbajo,East Nusa Tenggara,LBJ
LBK,Liboi,KE,Garissa,Garissa,LBK
LBL,Liberal Municipal Airport,US,Liberal,Kansas,LBL
LBM,Luabo,MZ,,,LBM
LBN,Lake Baringo,KE,Baringo,Baringo,LBN
LBO,Lusambo,CD,Lusambo,Kasai-Oriental,LBO
LBP,Long Banga Airfield,MY,Long Layu,North Kalimantan,LBP
LBQ,Lambarene,GA,Lambarene,Moyen-Ogooue,LBQ
LBR,Labrea,BR,Canutama,Amazonas,LBR
LBS,Labasa Airport,FJ,,,LBS
LBT,Lumberton,US,Lumberton,North Carolina,LBT
LBU,Labuan Airport,MY,,,LBU
LBV,Libreville Airport,GA,,,LBV
LBW,Long Bawan,ID,Sungaiboh,North Kalimantan,LBW
LBX,Lubang,PH,Lubang,Mimaropa,LBX
LBY,Montoir,FR,La Baule-Escoublac,Pays de la Loire,LBY
LBZ,Lukapa,AO,Lucapa,Lunda Norte,LBZ
LCA,Larnaca International Airport,CY,Meneou,Larnaka,LCA
LCB,Pontes e Lacerda,BR,,,LCB
LCC,Galatina,IT,Collemeto,Apulia,LCC
LCD,Louis Trichardt,ZA,Louis Trichardt,Limpopo,LCD
LCE,Goloson International Airport,HN,El Porvenir,Atlantida,LCE
LCF,Las Vegas,GT,Morales,Izabal,LCF
LCG,A Coruna Airport,ES,Culleredo,Galicia,LCG
LCH,Lake Charles Regional Airport,US,Prien,Louisiana,LCH
LCI,Municipal,US,Gilford,New Hampshire,LCI
LCJ,Lodz Lublinek Airport,PL,Ksawerow,Lodz Voivodeship,LCJ
LCK,Rickenbacker International Airport,US,Obetz,Ohio,CMH
LCL,La Coloma,CU,San Luis,Pinar del Rio,LCL
LCM,La Cumbre,AR,La Cumbre,Cordoba,LCM
LCN,Balcanoona,AU,Quorn,South Australia,LCN
LCO,Lague,CG,,,LCO
LCP,Loncopue,AR,Loncopue,Neuquen,LCP
LCQ,Lake City,US,Five Points,Florida,LCQ
LCR,La Chorrera,CO,,,LCR
LCS,Las Canas,CR,,,LCS
LCT,Shijiazhuang Luancheng Airport,CN,,,LCT
LCV,Lucca,IT,Capannori,Tuscany,LCV
LCX,Liancheng Airport,CN,Wenheng,Fujian,LCX
LCY,London City Airport,GB,,,LON
LDA,Malda,IN,Ingraj Bazar,West Bengal,LDA
LDB,Londrina Airport,BR,Londrina,Parana,LDB
LDC,Lindeman Island,AU,Walkerston,Queensland,LDC
LDE,Tarbes Ossun Lourdes Airport,FR,Juillan,Midi-Pyrenees,LDE
LDG,Leshukonskoye,RU,Leshukonskoye,Arkhangelskaya,LDG
LDH,Lord Howe Island Airport,AU,Woolgoolga,New South Wales,LDH
LDI,Kikwetu,TZ,Lindi,Lindi,LDI
LDJ,Linden,US,Linden,New Jersey,LDJ
LDK,Hovby,SE,Lidkoping,Vaestra Goetaland,LDK
LDM,Mason County,US,Ludington,Michigan,LDM
LDN,Lamidanda,NP,Bhojpur,Eastern Region,LDN
LDO,Ladouanie,SR,Brownsweg,Brokopondo,LDO
LDR,Lodar,YE,Lawdar,Abyan,LDR
LDS,Yichun Shi Airport,CN,Xuri,Heilongjiang Sheng,LDS
LDU,Lahad Datu Airport,MY,,,LDU
LDV,Landivisiau,FR,Landivisiau,Brittany,LDV
LDW,Lansdowne,AU,,,LDW
LDX,St-Laurent du Maroni,GF,Albina,Marowijne,LDX
LDY,City of Derry Airport,GB,Eglinton,Northern Ireland,LDY
LDZ,Londolozi Airport,ZA,,,LDZ
LEA,Learmonth Airport,AU,,,LEA
LEB,Lebanon Regional Airport,US,White River Junction,Vermont,LEB
LEC,Coronel Horacio de Mattos Airport,BR,Vera Cruz,Bahia,LEC
LED,Pulkovo Airport,RU,Dachnoye,St.-Petersburg,LED
LEE,Leesburg,US,Silver Lake,Florida,LEE
LEF,Lebakeng,LS,,,LEF
LEG,Aleg,MR,,,LEG
LEH,Octeville,FR,Sainte-Adresse,Haute-Normandie,LEH
LEI,Almeria Airport,ES,Retamar,Andalusia,LEI
LEJ,Leipzig/Halle Airport,DE,,,LEJ
LEK,Labe,GN,Labe,Labe,LEK
LEL,Lake Evella,AU,,,LEL
LEM,Lemmon,US,Lemmon,South Dakota,LEM
LEN,Leon Airport,ES,San Andres del Rabanedo,Castille and Leon,LEN
LEO,Leconi,GA,Lekoni,Haut-Ogooue,LEO
LEP,Leopoldina,BR,Leopoldina,Minas Gerais,LEP
LEQ,Lands End,GB,Sennen,England,LEQ
LER,Leinster,AU,,,LER
LES,Lesobeng,LS,,,LES
LET,Gen. A.V. Cobo Airport,CO,Leticia,Amazonas,LET
LEU,Seo de Urgel,ES,Sant Julia de Loria,Sant Julia de Loria,LEU
LEV,Levuka Airfield,FJ,,,LEV
LEW,Auburn,US,Auburn,Maine,LEW
LEX,Blue Grass Airport,US,Monticello,Kentucky,LEX
LEY,Lelystad,NL,Lelystad,Flevoland,LEY
LEZ,La Esperanza,HN,La Esperanza,Intibuca,LEZ
LFB,Lumbo,MZ,Ilha de Mocambique,Nampula,LFB
LFH,Lanping Feng Hua Airport,CN,Jinding,Yunnan,LFH
LFI,Langley AFB,US,,,PHF
LFK,Lufkin Angelina County,US,Diboll,Texas,OCH
LFM,Lamerd Airport,IR,Lamerd,Fars,LFM
LFN,Franklin,US,Louisburg,North Carolina,LFN
LFO,Kelafo,ET,Beledweyne,Hiiraan,LFO
LFP,Lakefield,AU,,,LFP
LFQ,Linfen Qiaoli Airport,CN,Linfen,Shanxi Sheng,LFQ
LFR,La Fria Airport,VE,La Fria,Tachira,LFR
LFT,Lafayette Regional Airport,US,Lafayette,Louisiana,LFT
LFW,Lome Airport,TG,Lome,Maritime,LFW
LGA,LaGuardia Airport,US,The Bronx,New York,NYC
LGB,Long Beach Airport,US,Signal Hill,California,LGB
LGC,Calloway,US,La Grange,Georgia,LGC
LGD,La Grande,US,La Grande,Oregon,LGD
LGE,Lake Gregory,AU,,,LGE
LGF,Laguna AAF,US,,,YUM
LGG,Liege Airport,BE,Awans,Wallonia,LGG
LGH,Leigh Creek,AU,,,LGH
LGI,Deadmans Cay Airport,BS,Clarence Town,Long Island,LGI
LGK,Langkawi International Airport,MY,Kuah,Kedah,LGK
LGL,Long Lellang,MY,,,LGL
LGM,Laiagam,PG,,,LGM
LGN,Linga Linga,PG,,,LGN
LGO,Langeoog,DE,Langeoog,Lower Saxony,LGO
LGP,Legaspi Airport,PH,Sagpon,Bicol,LGP
LGQ,Lago Agrio Airport,EC,Nueva Loja,Sucumbios,LGQ
LGR,Cochrane,CL,Cochrane,Aisen,LGR
LGS,Malargue,AR,Malargue,Mendoza,LGS
LGT,Las Gaviotas,CO,San Zenon,Bolivar,LGT
LGU,Cache,US,Hyde Park,Utah,LGU
LGW,London Gatwick Airport,GB,Horley,England,LON
LGX,Lugh Ganane,SO,,,LGX
LGY,Lagunillas,VE,Lagunillas,Merida,LGY
LGZ,Shannan Longzi Airport,CN,Shannan,,LGZ
LHA,Black Forest,DE,Lahr,Baden-Wuerttemberg,LHA
LHB,Lost Harbor Sea Port,US,,,LHB
LHE,Allama Iqbal International Airport,PK,Lahore,Punjab,LHE
LHG,Lightning Ridge,AU,,,LHG
LHI,Lereh,ID,Genyem,Papua,LHI
LHK,Guanghua,CN,Gucheng Chengguanzhen,Hubei,LHK
LHN,Lishan,TW,Hualian,Taiwan,LHN
LHP,Lehu,PG,,,LHP
LHR,London Heathrow Airport,GB,West Drayton,England,LON
LHS,Las Heras,AR,,,LHS
LHU,Lianshulu,,,,LHU
LHV,W T Piper Memorial,US,Lock Haven,Pennsylvania,LHV
LHW,Lanzhou Zhongchuan International Airport,CN,,,LHW
LIA,Liangping,CN,Longmen,Chongqing Shi,LIA
LIB,Limbunya,AU,,,LIB
LIC,Municipal,US,Limon,Colorado,LIC
LIE,Libenge,CD,Libenge,Equateur,LIE
LIF,Lifou Airport,NC,We,Loyalty Islands,LIF
LIG,Bellegarde Airport,FR,Couzeix,Limousin,LIG
LIH,Lihue Airport,US,Hanama'ulu,Hawaii,LIH
LII,Mulia,ID,,,LII
LIJ,Long Island,US,,,LIJ
LIK,Likiep Island,MH,Likiep,Likiep Atoll,LIK
LIL,Lille Airport,FR,Lesquin,Nord-Pas-de-Calais,LIL
LIM,Jorge Chavez International Airport,PE,Callao,Callao,LIM
LIN,Milano Linate Airport,IT,Novegro-Tregarezzo-San Felice,Lombardy,MIL
LIO,Limon International Airport,CR,Limon,Limon,LIO
LIP,Lins,BR,Lins,Sao Paulo,LIP
LIQ,Lisala,CD,,,LIQ
LIR,Liberia Airport,CR,Liberia,Guanacaste,LIR
LIS,Lisbon Portela Airport,PT,Moscavide,Lisbon,LIS
LIT,Bill and Hillary Clinton National Airport,US,North Little Rock,Arkansas,LIT
LIV,Livengood,US,,,LIV
LIW,Loikaw Airport,MM,Loikaw,Kayah,LIW
LIX,Likoma,MW,Chipyela,Northern Region,LIX
LIY,Wright AAF,US,Hinesville,Georgia,LIY
LIZ,Loring AFB,US,Foster Brook,Pennsylvania,LIZ
LJA,Lodja,CD,Lodja,Kasai-Oriental,LJA
LJC,Intercontinental,US,Lafayette,Tennessee,SDF
LJG,Lijiang Airport,CN,Huangshan,Yunnan,LJG
LJN,Brazoria County,US,Lake Jackson,Texas,LJN
LJU,Ljubljana Joze Pucnik Airport,SI,Sencur,Sencur,LJU
LKA,Gewayenta Airport,ID,Balela,East Nusa Tenggara,LKA
LKB,Lakeba Airport,FJ,,,LKB
LKC,Lekana,CG,Djambala,Plateaux,LKC
LKD,Lakeland Downs,AU,,,LKD
LKE,Kenmore Air Harbor SPB,US,Seattle,Washington,SEA
LKG,Lokichoggio,KE,Kaabong,Northern Region,LKG
LKH,Long Akah,MY,Long Ampan Aing or Abanang,Sarawak,LKH
LKI,Lakeside USAF,US,Duluth,Minnesota,DLH
LKK,Kulik Lake,US,,,LKK
LKL,Banak Airport,NO,Lakselv,Finnmark Fylke,LKL
LKM,Raja Loloda Mokoagow Airport,ID,,,LKM
LKN,Leknes Airport,NO,Leknes,Nordland,LKN
LKO,Chaudhary Charan Singh International Airport,IN,Lucknow,Uttar Pradesh,LKO
LKP,Lake Placid,US,Lake Placid,New York,LKP
LKR,Las Khoreh,SO,Las Khorey,Sanaag,LKR
LKS,Lakeside,US,Briarcliff,Texas,LKS
LKU,Lake Rudolf,KE,,,LKU
LKV,Lake County,US,Lakeview,Oregon,LKV
LKW,Lekhwair,OM,`Ibri,Az Zahirah,LKW
LKY,Lake Manyara Airport,TZ,Monduli,Arusha,LKY
LKZ,RAF Lakenheath,GB,Mundford,England,LKZ
LLA,Lulea Airport,SE,Bergnaset,Norrbotten,LLA
LLB,Libo County Libo City Airport,CN,Chuanshan,Guangxi Zhuangzu Zizhiqu,LLB
LLC,Cagayan North International Airport,PH,Bagumbayan,Cagayan Valley,LLC
LLE,Malelane,ZA,Komatipoort,Mpumalanga,LLE
LLF,Lingling Airport,CN,Lengshuitan,Hunan,LLF
LLG,Chillagoe,AU,,,LLG
LLH,Las Limas,HN,,,LLH
LLI,Lalibela Airport,ET,Lalibela,Amhara,LLI
LLJ,Silampari Airport,ID,Lubuklinggau,South Sumatra,LLJ
LLK,Lankaran International Airport,AZ,Lankaran,Lankaran,LLK
LLL,Lissadell,AU,,,LLL
LLM,Long Lama,MY,,,LLM
LLN,Kelila,ID,Bikondini,Papua,LLN
LLO,Bua Airport,ID,Beringinjaya,South Sulawesi,LLO
LLP,Linda Downs,AU,,,LLP
LLS,Las Lomitas,AR,Las Lomitas,Formosa,LLS
LLT,Lobito,AO,Lobito,Benguela,LLT
LLU,Alluitsup Paa,GL,,,LLU
LLV,Lüliang Airport,CN,Lishi,Shanxi Sheng,LLV
LLW,Lilongwe International Airport,MW,Lilongwe,Central Region,LLW
LLX,Lyndonville,US,Lyndon,Vermont,LLX
LLY,Burlington County,US,Leisuretowne,New Jersey,LLY
LMA,Lake Minchumina,US,,,LMA
LMB,Salima,MW,Salima,Central Region,LMB
LMC,Lamacarena,CO,San Juan de Arama,Meta,LMC
LMD,Los Menucos,AR,Los Menucos,Rio Negro,LMD
LME,Arnage,FR,Cloyes-sur-le-Loir,Centre,LME
LMG,Lamassa,PG,,,LMG
LMH,Limon,HN,Francia,Colon,LMH
LMI,Lumi,PG,,,LMI
LML,Lae Island,MH,Lae,Lae Atoll,LML
LMM,Federal Airport,MX,Los Mochis,Sinaloa,LMM
LMN,Limbang Airport,MY,Limbang,Sarawak,LMN
LMO,Lossiemouth RAF Station,GB,Lossiemouth,Scotland,LMO
LMP,Lampedusa Airport,IT,Lampedusa,Sicily,LMP
LMQ,Marsa Brega,LY,Al Burayqah,Sha`biyat al Wahat,LMQ
LMR,Lime Acres,ZA,Danielskuil,Northern Cape,LMR
LMS,Winston County,US,Louisville,Mississippi,LMS
LMT,Crater Lake Klamath Regional Airport,US,Altamont,Oregon,LMT
LMU,Letung Airport,ID,,,LMU
LMV,Madivaru Airport,MV,Madivaru,,LMV
LMX,Lopez De Micay,CO,,,LMX
LMY,Lake Murray,PG,,,LMY
LMZ,Palma,MZ,Madimba,Mtwara,LMZ
LNA,Palm Beach County Park,US,,,PBI
LNB,Lamen Bay,VU,,,LNB
LNC,Lengbati,PG,,,LNC
LND,Hunt Field,US,Lander,Wyoming,LND
LNE,Lonorore,VU,,,LNE
LNF,Munbil,PG,,,LNF
LNG,Lese,PG,,,LNG
LNH,Lake Nash,AU,,,LNH
LNI,Dew Station,US,,,LNI
LNJ,Lincang Airport,CN,Mengmeng,Yunnan,LNJ
LNK,Lincoln Airport,US,Lincoln,Nebraska,LNK
LNL,Longnan Chengzhou Airport,CN,Diancun,Gansu Sheng,LNL
LNM,Langimar,PG,,,LNM
LNN,Lost Nation,US,Willoughby,Ohio,LNN
LNO,Leonora,AU,,,LNO
LNP,Wise,US,Wise,Virginia,LNP
LNQ,Loani,PG,,,LNQ
LNR,Tri County,US,Spring Green,Wisconsin,LNR
LNS,Lancaster Airport,US,Lititz,Pennsylvania,LNS
LNU,Robert Atty Bessing Airport,ID,Mensalong,North Kalimantan,LNU
LNV,Lihir Island,PG,Rabaul,East New Britain,LNV
LNX,Smolensk,RU,Smolensk,Smolensk,LNX
LNY,Lanai Airport,US,Lana'i City,Hawaii,LNY
LNZ,Linz Airport,AT,Horsching,Upper Austria,LNZ
LOA,Lorraine,AU,,,LOA
LOB,Los Andes,CL,Coquimbo,Coquimbo,LOB
LOC,Lock,AU,,,LOC
LOD,Longana,VU,,,LOD
LOE,Loei Airport,TH,Loei,Loei,LOE
LOF,Loen,MH,Jabat,Jabat Island,LOF
LOG,Longview,US,Kelso,Washington,LOG
LOH,Ciudad de Catamayo Airport,EC,Catamayo,Loja,LOH
LOI,Helmuth Baungartem,BR,Ibirama,Santa Catarina,LOI
LOK,Lodwar Airport,KE,,,LOK
LOL,Derby Field,US,Lovelock,Nevada,LOL
LOM,Francisco P. V. Y R.,MX,Geovillas Laureles del Campanario,Jalisco,LOM
LOO,L'Mekrareg Airport,DZ,Laghouat,Laghouat,LOO
LOP,Lombok International Airport,ID,Tanakawu Dua,West Nusa Tenggara,LOP
LOQ,Lobatse,BW,Lobatse,South East,LOQ
LOR,Lowe Army Heliport,US,Headland,Alabama,OZR
LOS,Murtala Muhammed International Airport,NG,Oshodi,Lagos,LOS
LOT,Lewis Lockport,US,Lockport,Illinois,LOT
LOU,Bowman Field Airport,US,Louisville,Kentucky,SDF
LOV,Monclova,MX,Monclova,Coahuila,LOV
LOW,Louisa,US,Louisa,Virginia,LOW
LOX,Los Tablones Airport,GT,Morazan,El Progreso,LOX
LOY,Loyangalani,KE,Lodwar,Turkana,LOY
LOZ,Corbin-london,US,London,Kentucky,LOZ
LPA,Gran Canaria Airport,ES,Ingenio,Canary Islands,LPA
LPB,El Alto International Airport,BO,La Paz,La Paz,LPB
LPC,Lompoc Airport,US,,,LPC
LPD,La Pedrera,CO,,,LPD
LPE,La Primavera,CO,Ginebra,Valle del Cauca,LPE
LPF,Liupanshui Yuezhao Airport,CN,Liupanshui,Guizhou Sheng,LPF
LPG,La Plata,AR,La Plata,Buenos Aires,LPG
LPI,Linkoping City Airport,SE,Linkoping,OEstergoetland,LPI
LPJ,Pijiguaos,VE,San Juan de Payara,Apure,LPJ
LPK,Lipetsk Airport,RU,Lipetsk,Lipetsk,LPK
LPL,Liverpool John Lennon Airport,GB,Hale,England,LPL
LPM,Lamap,VU,,,LPM
LPN,Leron Plains,PG,,,LPN
LPO,Municipal,US,LaPorte,Indiana,LPO
LPP,Lappeenranta,FI,Lappeenranta,South Karelia,LPP
LPQ,Luang Prabang International Airport,LA,Louangphabang,Louangphabang,LPQ
LPS,Lopez Island,US,,,LPS
LPT,Lampang Airport,TH,Lampang,Lampang,LPT
LPU,Long Apung,ID,Longnawang,North Kalimantan,LPU
LPW,Little Port Walter,US,,,LPW
LPX,Liepaya Airport,LV,Grobina,Grobina,LPX
LPY,Loudes Airport,FR,Saint-Paulien,Auvergne,LPY
LQK,Pickens,US,Pickens,South Carolina,LQK
LQM,Puerto Leguizamo,CO,Puerto Leguizamo,Putumayo,LQM
LQN,Qala Nau,AF,Qadis,Badghis,LQN
LRA,Larisa,GR,Larisa,Thessaly,LRA
LRB,Leribe,LS,Leribe,Leribe,LRB
LRD,Laredo International Airport,US,Laredo,Texas,LRD
LRE,Longreach Airport,AU,,,LRE
LRF,Little Rock AFB,US,Little Rock Air Force Base,Arkansas,LRF
LRG,Lora Lai,PK,Kharan,Balochistan,LRG
LRH,Laleu Airport,FR,Nieul-sur-Mer,Poitou-Charentes,LRH
LRI,Lorica,CO,Cotorra,Cordoba,LRI
LRJ,Municipal,US,Le Mars,Iowa,LRJ
LRK,Coast Guard,US,Batallas,La Paz,LRK
LRL,Niamtougou,TG,Niamtougou,Kara,LRL
LRM,La Romana Airport,DO,La Romana,La Romana,LRM
LRN,Larson AFB,US,Moses Lake,Washington,MWH
LRO,Sharpe AAF,US,Lathrop,Missouri,LRO
LRQ,Laurie River,CA,,,LRQ
LRR,Lar Airport,IR,Lar,Fars,LRR
LRS,Leros Airport,GR,Megalo Chorio,South Aegean,LRS
LRT,Lann Bihoue Airport,FR,Ploemeur,Brittany,LRT
LRU,Municipal,US,Mesilla,New Mexico,LRU
LRV,Los Roques,VE,Caraballeda,Vargas,LRV
LSA,Losuia,PG,,,LSA
LSB,Lordsburg,US,Lordsburg,New Mexico,LSB
LSC,La Florida Airport,CL,La Serena,Coquimbo,LSC
LSD,Blue Grass Station Army Heliport,US,Mount Vernon,Kentucky,LEX
LSE,La Crosse Regional Airport,US,French Island,Wisconsin,LSE
LSF,Lawson AAF,US,,,LSF
LSH,Lashio,MM,,,LSH
LSI,Sumburgh Airport,GB,,,SDZ
LSJ,Long Island,PG,,,LSJ
LSK,Lusk,US,Lusk,Wyoming,LSK
LSL,Los Chiles,CR,Los Chiles,Alajuela,LSL
LSM,Lawas,MY,Sungai Nyamuk,East Kalimantan,LSM
LSN,Los Banos,US,Los Banos,California,LSN
LSO,Talmont,FR,Les Sables-d'Olonne,Pays de la Loire,LSO
LSP,Josefa Camejo Airport,VE,Punto Fijo,Falcon,LSP
LSQ,Los Angeles,CL,Los Angeles,Biobio,LSQ
LSR,Lost River,US,,,LSR
LSS,Terre-de-Haut,GP,Terre-de-Bas,Guadeloupe,LSS
LST,Launceston Airport,AU,Perth,Tasmania,LST
LSU,Long Sukang,MY,,,LSU
LSV,Nellis AFB,US,Pahrump,Nevada,LAS
LSW,Malikus Saleh Airport,ID,Lhokseumawe,Aceh,LSW
LSX,Lhok Sukon,ID,Matangkuli,Aceh,LSX
LSY,Lismore Airport,AU,Lismore,New South Wales,LSY
LSZ,Losinj Airport,HR,Mali Losinj,Primorsko-Goranska,LSZ
LTA,Letaba,ZA,Tzaneen,Limpopo,LTA
LTB,Latrobe,AU,Latrobe,Tasmania,LTB
LTC,Lai,TD,Lai,Tandjile,LTC
LTD,Ghadames,LY,Ghadamis,Sha`biyat Nalut,LTD
LTF,Leitre,PG,Leitre,Sandaun,LTF
LTG,Langtang,NP,Chongdui,Tibet Autonomous Region,LTG
LTH,Lathrop Wells,US,,,LTH
LTI,Altai,MN,Tsagaan-Olom,Govi-Altay,LTI
LTK,Latakia,SY,Jablah,Latakia,LTK
LTL,Lastourville,GA,Lastoursville,Ogooue-Lolo,LTL
LTM,Lethem,GY,,,LTM
LTN,London Luton Airport,GB,Luton,England,LON
LTO,Loreto Airport,MX,Loreto,Baja California Sur,LTO
LTP,Lyndhurst,AU,,,LTP
LTQ,Le Touquet,FR,Etaples,Nord-Pas-de-Calais,LTQ
LTR,Letterkenny,IE,Letterkenny,Ulster,LTR
LTS,Altus Air Force Base,US,Altus,Oklahoma,LTS
LTT,La Mole,FR,,,LTT
LTU,Latur,IN,Latur,Maharashtra,LTU
LTV,Lotusvale,AU,,,LTV
LTW,St Marys County,US,,,LTW
LTX,Cotapaxi International Airport,EC,Latacunga,Cotopaxi,LTX
LUA,Lukla,NP,,,LUA
LUB,Lumid Pau,GY,,,LUB
LUC,Laucala Island,FJ,,,LUC
LUD,Luderitz Airport,,Luderitz,Karas,LUD
LUE,Lucenec,SK,Lucenec,Banskobystricky,LUE
LUF,Luke AFB,US,,,PHX
LUG,Lugano Airport,CH,Viganello,Ticino,LUG
LUH,Ludhiana Sahnewal Airport,IN,Ludhiana,Punjab,LUH
LUI,La Union,HN,La Union,La Union,LUI
LUK,Cincinnati Municipal Lunken Airport,US,Oakbrook,Kentucky,CVG
LUL,Hesler-Noble Field,US,Laurel,Mississippi,LUL
LUM,Dehong Mangshi Airport,CN,,,LUM
LUN,Kenneth Kaunda International Airport,ZM,Lusaka,Lusaka,LUN
LUO,Luena,AO,Leua,Moxico,LUO
LUP,Kalaupapa,US,,,LUP
LUQ,San Luis Airport,AR,San Luis,San Luis,LUQ
LUR,Cape Lisburne,US,,,LUR
LUS,Lusanga,CD,Kikwit,Bandundu,LUS
LUT,Laura Station,AU,,,LUT
LUU,Laura,AU,,,LUU
LUV,Langgur Airport,ID,,,LUV
LUW,Bubung Airport,ID,Luwuk,Central Sulawesi,LUW
LUX,Luxembourg Airport,LU,Sandweiler,Luxembourg,LUX
LUZ,Lublin Airport,PL,,,LUZ
LVA,Entrammes,FR,Laval,Pays de la Loire,LVA
LVB,Dos Galpoes,BR,Rivera,Rivera,LVB
LVD,Lime Village,US,,,LVD
LVI,Livingstone Airport,ZM,Livingstone,Southern,LVI
LVK,Livermore,US,Livermore,California,LVK
LVL,Lawrenceville,US,Lawrenceville,Virginia,LVL
LVM,Mission Field,US,Livingston,Montana,LVM
LVO,Laverton,AU,,,LVO
LVP,Lavan,IR,Gavbandi,Hormozgan,LVP
LVR,Mun. Do Bom Futuro,BR,,,LVR
LVS,Las Vegas,US,Las Vegas,New Mexico,LVS
LWA,Lwbak,PH,Lubuagan,Cordillera,LWA
LWB,Greenbrier Valley Airport,US,Lewisburg,West Virginia,LWB
LWC,Lawrence,US,Lawrence,Kansas,LWC
LWE,Lewoleba,ID,Boto,East Nusa Tenggara,LWE
LWH,Lawn Hill,AU,,,LWH
LWI,Lowai,PG,,,LWI
LWK,Lerwick/Tingwall,GB,,,SDZ
LWL,Harriet Field,US,Wells,Nevada,LWL
LWM,Lawrence,US,North Andover,Massachusetts,LWM
LWN,Leninakan Airport,AM,Azatan,Shirak,LWN
LWO,Lviv International Airport,UA,Rudne,Lviv,LWO
LWR,Leeuwarden,NL,Britsum,Friesland,LWR
LWS,Lewiston-Nez Perce County Regional Airport,US,Lewiston Orchards,Idaho,LWS
LWT,Municipal,US,Lewistown,Montana,LWT
LWV,Municipal,US,Lawrenceville,Illinois,LWV
LWY,Lawas Airport,MY,Victoria,Labuan,LWY
LXA,Lhasa Gonggar Airport,CN,Konggar,Tibet Autonomous Region,LXA
LXG,Luang Namtha Airport,LA,Louang Namtha,Loungnamtha,LXG
LXN,Lexington,US,Lexington,Nebraska,LXN
LXR,Luxor International Airport,EG,Luxor,Luxor,LXR
LXS,Limnos Airport,GR,Myrina,North Aegean,LXS
LXU,Lukulu,ZM,Lukulu,Western,LXU
LXV,Leadville,US,Leadville,Colorado,LXV
LYA,Luoyang Beijiao Airport,CN,,,LYA
LYB,Little Cayman Airport,KY,East End,,LYB
LYC,Lycksele Airport,SE,Lycksele,Vaesterbotten,LYC
LYE,Lyneham RAF Station,GB,Lyneham,England,LYE
LYG,Lianyungang Airport,CN,Niushan,Jiangsu Sheng,LYG
LYH,Preston-Glenn Field,US,Timberlake,Virginia,LYH
LYI,Linyi Airport,CN,Linyi,Shandong Sheng,LYI
LYK,Lunyuk,ID,Lunyuk Ode,West Nusa Tenggara,LYK
LYN,Bron,FR,Bron,Rhone-Alpes,LYS
LYO,Lyons-Rice County Municipal,US,Lyons,Kansas,LYO
LYP,Faisalabad Airport,PK,Faisalabad,Punjab,LYP
LYR,Svalbard Airport,SJ,Longyearbyen,Svalbard,LYR
LYS,Lyon Saint-Exupery International Airport,FR,Pusignan,Rhone-Alpes,LYS
LYT,Lady Elliot Island,AU,Bundaberg,Queensland,LYT
LYU,Ely,US,Ely,Minnesota,LYU
LYX,London Ashford International (Ferryfield),GB,Lydd,England,LYX
LZA,Luiza,CD,Mwene-Ditu,Kasai-Oriental,LZA
LZC,Lazaro Cardenas Airport,MX,La Orilla,Michoacan,LZC
LZG,Langzhong Airport,CN,Shilong,Sichuan,LZG
LZH,Liuzhou Airport,CN,Labu,Guangxi Zhuangzu Zizhiqu,LZH
LZI,Luozi,CD,,,LZI
LZM,Luzamba,AO,,,LZM
LZN,Matsu Nangan Airport,TW,,,LZN
LZO,Luzhou Lantian Airport,CN,Luzhou,Sichuan,LZO
LZR,Lizard Island,AU,,,LZR
LZU,Gwinnett County Airport,US,Suwanee,Georgia,LZU
LZY,Nyingchi Mainling Airport,CN,Mainling,Tibet Autonomous Region,LZY
MAA,Chennai Airport,IN,Pallavaram,Tamil Nadu,MAA
MAB,Maraba Airport,BR,,,MAB
MAC,Smart,US,,,MCN
MAD,Adolfo Suarez Madrid-Barajas Airport,ES,Barajas de Madrid,Madrid,MAD
MAE,Madera,US,Madera,California,MAE
MAF,Midland International Airport,US,,,MAF
MAG,Madang Airport,PG,,,MAG
MAH,Menorca Airport,ES,Sant Lluis,Balearic Islands,MAH
MAI,Mangochi,MW,Mangochi,Southern Region,MAI
MAJ,Amata Kabua International Airport,MH,Majuro,Majuro Atoll,MAJ
MAK,Malakal,SS,Malakal,Upper Nile,MAK
MAL,Mangole,ID,,,MAL
MAM,Matamoros Airport,MX,Heroica Matamoros,Tamaulipas,MAM
MAN,Manchester Airport,GB,Ringway,England,MAN
MAO,Eduardo Gomes International Airport,BR,,,MAO
MAP,Mamai,PG,,,MAP
MAQ,Mae Sot Airport,TH,Mae Sot,Tak,MAQ
